Name,Address,Link
Berl's Brooklyn Poetry Shop,"141 Front St., Brooklyn, NY 11201",http://www.berlspoetry.com/
Bookmark Shoppe,"8415 3rd Ave, Brooklyn, NY 11209",https://www.bookmarkshoppe.com/
Books Are Magic,"225 Smith St., Brooklyn, NY 11231",https://www.booksaremagic.net/
Cafe Con Libros,"724 Prospect Pl. Brooklyn, NY 11216",https://www.cafeconlibrosbk.com/
Catland Books,"987 Flushing Ave, Brooklyn, NY 11206",https://www.catlandbooks.com/
Center for Fiction,"15 Lafayette Ave, Brooklyn, NY 11217",https://centerforfiction.org
Community Bookstore,"143 7th Ave., Brooklyn, NY 11215",http://www.communitybookstore.net/
Freebird Books,"123 Columbia St., Brooklyn, NY 11231",http://www.freebirdbooks.com/
Greenlight Bookstore,"Ft. Greene — 686 Fulton St., Brooklyn, NY 11217",http://www.greenlightbookstore.com/
Greenlight Bookstore,"Prospect Lefferts Garden — 632 Flatbush Ave., Brooklyn, NY 11225",http://www.greenlightbookstore.com/
Head Hi,"14 Clermont Ave, Brooklyn, NY 11205",https://www.headhi.net/
Here's A Book Store,"1964 Coney Island Ave., Brooklyn, NY 11223",https://www.facebook.com/Heres-A-Book-Store-115732881789797/
Honey & Wax Booksellers,"540 President Street, Third Floor, Brooklyn, NY 11215",https://www.honeyandwaxbooks.com/
Human Relations,"1067 Flushing Ave., Brooklyn, NY 11237",http://www.humanrelationsbooks.com/
McNally Jackson Books,"445 Albee Square West, Unit G112, Brooklyn, NY 11201",http://www.mcnallyjackson.com/
McNally Jackson Books,"76 N. 4th St., Unit G, Brooklyn, NY 11249",http://www.mcnallyjackson.com/
Melville House,"46 John St, Brooklyn, NY 11201",https://www.mhpbooks.com/
Mil Mundos Books,"323 Linden St, Brooklyn, NY 11237",https://www.milmundosbooks.com/
Molasses Books,"770 Hart St., Brooklyn, NY 11237",https://www.facebook.com/MolassesBooks/
Powerhouse Arena,"Park Slope — 1111 8th Ave., Brooklyn, NY 11215",http://powerhousearena.com/
Powerhouse Arena,"Industry City —  220 36th St., Building #2, Brooklyn, NY 11232",http://powerhousearena.com/
Powerhouse Arena,"DUMBO — 28 Adams St., Brooklyn, NY 11201",https://www.powerhousebookstores.com/
Rough Trade NYC,"64 N 9th St, Brooklyn, NY 11249",https://www.roughtrade.com/
Spoonbill & Sugartown,"218 Bedford Ave., Brooklyn, NY 11211",http://www.spoonbillbooks.com/
Terrace Books,"242 Prospect Park W, Brooklyn, NY 11215",http://www.communitybookstore.net/
Terrace Books,"143 Seventh Avenue, Brooklyn, NY 11215",http://www.communitybookstore.net/
Unnameable Books,"600 Vanderbilt Ave., Brooklyn, NY 11238",https://unnameablebooks.square.site
WORD,"126 Franklin St., Brooklyn, NY 11222",http://www.wordbookstores.com/
192 Books,"192 10th Ave., New York, NY 10011",http://www.192books.com/
AeonBookstore,"151 East Broadway, New York, NY",https://www.aeonbookstore.com/
Albertine,"972 5th Ave., New York, NY 10075",https://www.albertine.com/holiday-2020/
Aperture Foundation: Bookstore and Gallery,"548 W 28th St. Fourth Floor, New York, NY 10001",https://aperture.org/shop
Argosy Bookstore,"116 E 59th St., New York, NY 10022",https://www.argosybooks.com/
Book Culture,"2915 Broadway, New York, NY	10025",http://www.bookculture.com/
Book Culture,"536 W 112th St., New York, NY	10025",http://www.bookculture.com/
Book Club,"197 E 3rd Street, New York, NY 10009",https://www.bookclubbar.com/
Books of Wonder,"42 W 17th St., New York, NY 10011",http://booksofwonder.com/
Books of Wonder,"217 W 84th St., New York NY 10024",http://booksofwonder.com/
Bonnie Slotnick Cookbooks,"28 E 2nd St, New York, NY 10003",http://www.bonnieslotnickcookbooks.com/
Clic Bookstore & Gallery,"255 Centre St., New York, NY 10013",https://www.clic.com/all-books
The Corner Bookstore,"1313 Madison Ave., New York, NY 10128",http://cornerbookstorenyc.com/
Dashwood Bookstore,"33 Bond St., New York, NY 10012",https://www.dashwoodbooks.com/
Kinokuniya,"1073 6th Ave., New York, NY 10018",https://usa.kinokuniya.com/
La Librairie des Enfants,"163 E 92nd St., New York, NY 10128",https://lalibrairiedesenfants.nyc/
McNally Jackson Books,"52 Prince St., New York, NY 10012",http://www.mcnallyjackson.com/
