Name,Address,Link,Latitudes,Longitudes
Berl's Brooklyn Poetry Shop,"141 Front St., Brooklyn, NY 11201",http://www.berlspoetry.com/,40.25062,-80.202794
Bookmark Shoppe,"8415 3rd Ave, Brooklyn, NY 11209",https://www.bookmarkshoppe.com/,40.709086,-73.65214
Books Are Magic,"225 Smith St., Brooklyn, NY 11231",https://www.booksaremagic.net/,27.589467,-82.429622
Cafe Con Libros,"724 Prospect Pl. Brooklyn, NY 11216",https://www.cafeconlibrosbk.com/,36.726275,-78.147931
Catland Books,"987 Flushing Ave, Brooklyn, NY 11206",https://www.catlandbooks.com/,40.674445,-73.952519
Center for Fiction,"15 Lafayette Ave, Brooklyn, NY 11217",https://centerforfiction.org,40.703008,-73.933144
Community Bookstore,"143 7th Ave., Brooklyn, NY 11215",http://www.communitybookstore.net/,42.569461,-70.942207
Freebird Books,"123 Columbia St., Brooklyn, NY 11231",http://www.freebirdbooks.com/,37.785807,-122.465714
Greenlight Bookstore,"Ft. Greene — 686 Fulton St., Brooklyn, NY 11217",http://www.greenlightbookstore.com/,40.843953,-74.083313
Greenlight Bookstore,"Prospect Lefferts Garden — 632 Flatbush Ave., Brooklyn, NY 11225",http://www.greenlightbookstore.com/,43.179089,-77.637088
Head Hi,"14 Clermont Ave, Brooklyn, NY 11205",https://www.headhi.net/,40.668754,-73.966344
Here's A Book Store,"1964 Coney Island Ave., Brooklyn, NY 11223",https://www.facebook.com/Heres-A-Book-Store-115732881789797/,40.697409,-73.971708
Honey & Wax Booksellers,"540 President Street, Third Floor, Brooklyn, NY 11215",https://www.honeyandwaxbooks.com/,40.609273,-73.962299
Human Relations,"1067 Flushing Ave., Brooklyn, NY 11237",http://www.humanrelationsbooks.com/,40.677454,-73.985187
McNally Jackson Books,"445 Albee Square West, Unit G112, Brooklyn, NY 11201",http://www.mcnallyjackson.com/,40.704402,-73.92957
McNally Jackson Books,"76 N. 4th St., Unit G, Brooklyn, NY 11249",http://www.mcnallyjackson.com/,40.69074,-73.983473
Melville House,"46 John St, Brooklyn, NY 11201",https://www.mhpbooks.com/,40.717402,-73.961509
Mil Mundos Books,"323 Linden St, Brooklyn, NY 11237",https://www.milmundosbooks.com/,44.203811,-69.081337
Molasses Books,"770 Hart St., Brooklyn, NY 11237",https://www.facebook.com/MolassesBooks/,42.203743,-72.621677
Powerhouse Arena,"Park Slope — 1111 8th Ave., Brooklyn, NY 11215",http://powerhousearena.com/,34.932013,-81.928916
Powerhouse Arena,"Industry City —  220 36th St., Building #2, Brooklyn, NY 11232",http://powerhousearena.com/,34.49721,-82.025175
Powerhouse Arena,"DUMBO — 28 Adams St., Brooklyn, NY 11201",https://www.powerhousebookstores.com/,34.49721,-82.025175
Rough Trade NYC,"64 N 9th St, Brooklyn, NY 11249",https://www.roughtrade.com/,43.179089,-77.637088
Spoonbill & Sugartown,"218 Bedford Ave., Brooklyn, NY 11211",http://www.spoonbillbooks.com/,37.341185,-121.882804
Terrace Books,"242 Prospect Park W, Brooklyn, NY 11215",http://www.communitybookstore.net/,40.579443,-74.103175
Terrace Books,"143 Seventh Avenue, Brooklyn, NY 11215",http://www.communitybookstore.net/,40.659298,-73.981307
Unnameable Books,"600 Vanderbilt Ave., Brooklyn, NY 11238",https://unnameablebooks.square.site,37.785807,-122.465714
WORD,"126 Franklin St., Brooklyn, NY 11222",http://www.wordbookstores.com/,35.136679,-90.198874
192 Books,"192 10th Ave., New York, NY 10011",http://www.192books.com/,42.709489,-71.169968
AeonBookstore,"151 East Broadway, New York, NY,10002",https://www.aeonbookstore.com/,42.677186,-74.496228
Albertine,"972 5th Ave., New York, NY 10075",https://www.albertine.com/holiday-2020/,41.648128,-74.660682
Aperture Foundation: Bookstore and Gallery,"548 W 28th St. Fourth Floor, New York, NY 10001",https://aperture.org/shop,40.649623,-73.946539
Argosy Bookstore,"116 E 59th St., New York, NY 10022",https://www.argosybooks.com/,41.762414,-88.32833
Book Culture,"2915 Broadway, New York, NY	10025",http://www.bookculture.com/,41.114929,-74.149599
Book Culture,"536 W 112th St., New York, NY	10025",http://www.bookculture.com/,39.896876,-83.081227
Book Club,"197 E 3rd Street, New York, NY 10009",https://www.bookclubbar.com/,33.932869,-118.283979
Books of Wonder,"42 W 17th St., New York, NY 10011",http://booksofwonder.com/,44.245922,-74.492218
Books of Wonder,"217 W 84th St., New York NY 10024",http://booksofwonder.com/,41.139064,-74.168982
Bonnie Slotnick Cookbooks,"28 E 2nd St, New York, NY 10003",http://www.bonnieslotnickcookbooks.com/,41.302993,-73.699047
